,Distance,Current
0,-1.103,2.9
1,-1.076,3.7
2,-1.085,3.9
3,-1.014,5.6
4,-0.967,5.4
5,-0.898,5.9
6,-0.739,6.1
7,-0.787,8.6
8,-0.69,8.8
9,-0.679,10.1
10,-0.613,10.4
11,-0.59,11.0
12,-0.512,12.2
13,-0.47,12.5
14,-0.456,13.0
15,-0.419,13.9
16,-0.407,15.3
17,-0.316,16.1
18,-0.204,17.2
19,-0.151,17.6
20,-0.113,19.0
21,-0.089,19.5
22,-0.03,21.1
23,-0.007,22.1
24,-0.004,23.0
25,0.067,23.7
26,0.076,24.2
27,0.079,23.9
28,0.0,24.0
29,-0.012,24.4
30,-0.006,23.8
31,0.011,23.1
32,0.055,21.9
33,0.109,21.4
34,0.16,20.4
35,0.185,18.1
36,0.223,17.5
37,0.239,17.7
38,0.454,15.1
39,0.362,16.2
40,0.466,14.6
41,0.511,13.3
42,0.567,13.0
43,0.612,11.9
44,0.663,10.8
45,0.699,9.6
46,0.729,9.9
47,0.786,8.9
48,0.816,8.6
49,0.828,6.5
50,0.913,6.3
51,0.969,6.1
52,1.027,5.8
53,1.09,3.9
54,1.128,3.5
55,1.178,3.3
