,Distance,Current
0,-1.2,2.669
1,-1.1,3.435
2,-1.1,3.851
3,-1.0,5.665
4,-1.0,5.917
5,-0.9,5.894
6,-0.8,6.187
7,-0.8,8.866
8,-0.8,8.821
9,-0.7,9.406
10,-0.7,10.264
11,-0.7,11.034
12,-0.6,12.525
13,-0.6,12.89
14,-0.5,13.14
15,-0.5,14.114
16,-0.4,15.261
17,-0.4,16.225
18,-0.2,17.69
19,-0.2,17.833
20,-0.2,18.946
21,-0.2,20.351
22,-0.1,21.786
23,-0.1,22.621
24,-0.0,23.869
25,0.0,23.854
26,0.0,24.138
27,0.0,24.134
28,0.0,23.904
29,-0.0,23.472
30,-0.0,23.41
31,0.0,23.959
32,0.1,22.54
33,0.1,21.39
34,0.2,20.474
35,0.2,18.493
36,0.2,18.386
37,0.2,17.355
38,0.5,15.153
39,0.4,15.47
40,0.5,14.3
41,0.5,12.79
42,0.6,12.377
43,0.6,12.303
44,0.7,10.406
45,0.7,10.013
46,0.7,9.586
47,0.8,9.054
48,0.8,8.73
49,0.8,7.07
50,0.9,5.958
51,1.0,5.513
52,1.0,5.22
53,1.1,4.22
54,1.1,3.553
55,1.2,2.641
